ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished
100320945,Residensi Seri Wahyu @ Jalan Kuching KL,0,RM 1 300 per month,Kuala Lumpur - KL City,Apartment,3,1,2,835 sq.ft.,Fully Furnished
98990742,Endah Villa,0,RM 1 400 per month,Kuala Lumpur - Sri Petaling,Condominium,3,1,2,1129 sq.ft.,Fully Furnished
100320727,Residensi Vista Wirajaya,0,RM 1 800 per month,Kuala Lumpur - Setapak,Apartment,3,1,2,884 sq.ft.,Fully Furnished
100320546,M Centura,2021,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,1,2,850 sq.ft.,Fully Furnished
100234537,The Nest Residence @ Genting Klang,0,RM 1 600 per month,Kuala Lumpur - Setapak,Service Residence,3,1,2,770 sq.ft.,Fully Furnished
100320486,Sky Awani 3 Residence Setpak,0,RM 1 600 per month,Kuala Lumpur - Setapak,Service Residence,3,2,2,800 sq.ft.,Fully Furnished
100235780,8 Petaling,2014,RM 2 599 per month,Kuala Lumpur - Sri Petaling,Condominium,4,3,5,1899 sq.ft.,Fully Furnished
100320340,Lexa Residence @ The Quartz WM,0,RM 2 600 per month,Kuala Lumpur - Wangsa Maju,Service Residence,4,0,2,877 sq.ft.,Fully Furnished
100255260,The Nest Residence @ Genting Klang,0,RM 900 per month,Kuala Lumpur - Setapak,Service Residence,1,1,1,360 sq.ft.,Fully Furnished
100256144,The Establishment,2018,RM 2 500 per month,Kuala Lumpur - Brickfields,Service Residence,1,1,1,468 sq.ft.,Fully Furnished
100320298,The Henge Kepong,2019,RM 2 200 per month,Kuala Lumpur - Kepong,Condominium,3,2,2,1100 sq.ft.,Fully Furnished
100320294,Sofiya Residences,0,RM 2 300 per month,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862 sq.ft.,Fully Furnished
100320327,Vista Komanwel A,0,RM 1 600 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1224 sq.ft.,Fully Furnished
100320270,Arte Plus Jalan Ampang,2018,RM 2 100 per month,Kuala Lumpur - Ampang,Service Residence,3,2,2,1200 sq.ft.,Fully Furnished
100234677,M Centura,2021,RM 2 200 per month,Kuala Lumpur - Sentul,Service Residence,3,0,2,850 sq.ft.,Fully Furnished
100319477,Regalia Residence,2012,RM 2 000 per month,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,1,1,1,560 sq.ft.,Fully Furnished
100319453,38 Bidara,0,RM 1 900 per month,Kuala Lumpur - KLCC,Condominium,2,0,2,705 sq.ft.,Fully Furnished
100319350,Unio Residence,2021,RM 2 200 per month,Kuala Lumpur - Kepong,Apartment,2,1,2,866 sq.ft.,Fully Furnished
100319283,Legasi Kampong Bharu,2020,RM 3 300 per month,Kuala Lumpur - KL City,Apartment,3,1,2,950 sq.ft.,Fully Furnished
100319174,Mercu Summer Suites @ Kuala Lumpur,2015,RM 2 000 per month,Kuala Lumpur - KL City,Service Residence,1,0,1,600 sq.ft.,Fully Furnished
100319208,Bangsar Permai,1998,RM 2 500 per month,Kuala Lumpur - Bangsar,Condominium,3,0,2,1000 sq.ft.,Fully Furnished
99884824,Bayu Tasik 2,1998,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,3,1,2,1000 sq.ft.,Fully Furnished
99263112,Platinum Oug Residence,0,RM 1 650 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,1,2,1200 sq.ft.,Fully Furnished
100318476,The Andes Condo Villa @ Bukit Jalil,2018,RM 3 700 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,2,2,1325 sq.ft.,Fully Furnished
100318535,Nuri Court,0,RM 1 500 per month,Kuala Lumpur - Pandan Indah,Apartment,3,0,2,900 sq.ft.,Fully Furnished
100318501,The Hipster @ Taman Desa,2022,RM 2 100 per month,Kuala Lumpur - Taman Desa,Condominium,3,2,2,925 sq.ft.,Fully Furnished
100318448,Mont Kiara Astana,1998,RM 4 500 per month,Kuala Lumpur - Mont Kiara,Condominium,4,0,3,1690 sq.ft.,Fully Furnished
100250824,Sentrio Suites,2017,RM 1 550 per month,Kuala Lumpur - Desa Pandan,Service Residence,1,1,1,570 sq.ft.,Fully Furnished
100318198,Majestic Maxim,2021,RM 2 300 per month,Kuala Lumpur - Cheras,Service Residence,3,0,2,1050 sq.ft.,Fully Furnished
99906090,Bukit Pandan 2,0,RM 1 450 per month,Kuala Lumpur - Cheras,Condominium,3,1,2,1150 sq.ft.,Fully Furnished
100198517,Angkasa Impian 1,2004,RM 4 000 per month,Kuala Lumpur - Bukit Bintang,Condominium,4,0,4,2200 sq.ft.,Fully Furnished
100317989,Apartment Sentul,0,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,2,1,2,743 sq.ft.,Fully Furnished
100317959,Camellia,2014,RM 2 200 per month,Kuala Lumpur - Bangsar South,Condominium,1,1,1,638 sq.ft.,Fully Furnished
100317749,Casa Green (Bukit Jalil),0,RM 2 000 per month,Kuala Lumpur - Bukit Jalil,Condominium,4,1,2,900 sq.ft.,Fully Furnished
100317885,10 Semantan,2006,RM 1 948 per month,Kuala Lumpur - Damansara Heights,Service Residence,2,1,2,990 sq.ft.,Fully Furnished
100317852,M Vertica,2023,RM 2 200 per month,Kuala Lumpur - Cheras,Condominium,3,2,2,850 sq.ft.,Fully Furnished
99363260,-,0,RM 2 500 per month,Kuala Lumpur - Segambut,Condominium,3,2,3,1537 sq.ft.,Fully Furnished
100317778,Putra Villa,2007,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,0,2,1066 sq.ft.,Fully Furnished
99662226,Vina Versatile Homes,2016,RM 1 400 per month,Kuala Lumpur - Cheras,Studio,1,1,1,450 sq.ft.,Fully Furnished
100317337,Sri Putramas,2004,RM 1 600 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1,2,1100 sq.ft.,Fully Furnished
100317514,Platinum OUG Residence,2021,RM 1 800 per month,Kuala Lumpur - Kuchai Lama,Condominium,3,1,2,1200 sq.ft.,Fully Furnished
100253318,Danau Kota Suite Apartments,2018,RM 2 200 per month,Kuala Lumpur - Setapak,Apartment,3,1,2,829 sq.ft.,Fully Furnished
100317301,Anjung Hijau,0,RM 1 400 per month,Kuala Lumpur - Bukit Jalil,Condominium,2,1,2,980 sq.ft.,Fully Furnished
100317300,Sri Putramas,2004,RM 1 500 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,2,2,1100 sq.ft.,Fully Furnished
100317269,Residensi Pandanmas 1,0,RM 1 600 per month,Kuala Lumpur - Desa Pandan,Apartment,3,0,2,900 sq.ft.,Fully Furnished
73348138,-,0,RM 1 400 per month,Kuala Lumpur - Old Klang Road,Condominium,1,1,2,775 sq.ft.,Fully Furnished
100198991,Putra Villa,2007,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,0,2,1076 sq.ft.,Fully Furnished
100275203,Kenari Apartment (Taman Melati),0,RM 1 600 per month,Kuala Lumpur - Setapak,Apartment,3,0,2,900 sq.ft.,Fully Furnished
100247364,Kenari Apartment (Taman Melati),0,RM 1 600 per month,Kuala Lumpur - Setapak,Apartment,3,1,2,900 sq.ft.,Fully Furnished
100317199,"The Park 2, Pavilion Bukit Jalil",2021,RM 3 200 per month,Kuala Lumpur - Bukit Jalil,Service Residence,2,1,2,750 sq.ft.,Fully Furnished
100082207,M3 Residency,2017,RM 1 700 per month,Kuala Lumpur - Setapak,Service Residence,3,1,2,900 sq.ft.,Fully Furnished
100208820,Putra Villa,2007,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1,2,1067 sq.ft.,Fully Furnished
100317031,TR Residence,0,RM 2 500 per month,Kuala Lumpur - Titiwangsa,Service Residence,3,1,2,850 sq.ft.,Fully Furnished
100316974,Royal Regent (Sri Putramas 3),2013,RM 2 000 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1,2,1018 sq.ft.,Fully Furnished
100316828,Tasikmas,0,RM 1 300 per month,Kuala Lumpur - Bandar Tasik Selatan,Apartment,3,1,2,850 sq.ft.,Fully Furnished
100316756,M Centura,2021,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,0,2,850 sq.ft.,Fully Furnished
100316527,28 Boulevard,2019,RM 1 700 per month,Kuala Lumpur - Pandan Perdana,Apartment,1,0,1,450 sq.ft.,Fully Furnished
100316652,Regalia Residence,2012,RM 2 100 per month,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,1,0,1,560 sq.ft.,Fully Furnished
100316599,Casa Kiara 1,0,RM 3 000 per month,Kuala Lumpur - Mont Kiara,Condominium,4,2,3,1268 sq.ft.,Fully Furnished
100218018,Nusa Mewah Villa Condominium,2014,RM 1 400 per month,Kuala Lumpur - Cheras,Condominium,3,2,2,865 sq.ft.,Fully Furnished
76518404,-,0,RM 1 600 per month,Kuala Lumpur - Old Klang Road,Duplex,1,1,2,775 sq.ft.,Fully Furnished
